,dhs_id,site_id,site_name,latitude,longitude,rural_urban,country,country_id,continent_id,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,positive,pr,species,method,rdt_type,pcr_type,malaria_metrics_available,location_available,permissions_info,citation1,citation2,citation3
29445,,84463,Moyo,-16.8164,27.426,UNKNOWN,Zambia,ZMB,Africa,4,2015,5,2015,0.3,5,60,13,0.2167,P. falciparum,RDT,SD BIOLINE Malaria Ag P.f. (HRP2/pLDH) - 05FK90,,true,true,,"Eisele, T.P, -. (2017) personal communication.",,
29611,,84450,Kazimaulu,-16.83,27.504,UNKNOWN,Zambia,ZMB,Africa,4,2015,5,2015,0.3,5,63,2,0.0317,P. falciparum,RDT,SD BIOLINE Malaria Ag P.f. (HRP2/pLDH) - 05FK90,,true,true,,"Eisele, T.P, -. (2017) personal communication.",,
29638,,84510,Kazimaulu,-16.8223,27.5011,UNKNOWN,Zambia,ZMB,Africa,4,2016,5,2016,0.3,5,65,1,0.0154,P. falciparum,RDT,SD BIOLINE Malaria Ag P.f. (HRP2/pLDH) - 05FK90,,true,true,,"Eisele, T.P, -. (2017) personal communication.",,
29644,,84516,Masempela,-17.2991,26.9197,UNKNOWN,Zambia,ZMB,Africa,4,2016,5,2016,0.3,5,58,1,0.0172,P. falciparum,RDT,SD BIOLINE Malaria Ag P.f. (HRP2/pLDH) - 05FK90,,true,true,,"Eisele, T.P, -. (2017) personal communication.",,
29651,,84523,Moyo,-16.8072,27.4273,UNKNOWN,Zambia,ZMB,Africa,4,2016,5,2016,0.3,5,62,0,0,P. falciparum,RDT,SD BIOLINE Malaria Ag P.f. (HRP2/pLDH) - 05FK90,,true,true,,"Eisele, T.P, -. (2017) personal communication.",,
29663,,84535,Siamuleya,-16.9688,27.3526,UNKNOWN,Zambia,ZMB,Africa,4,2016,5,2016,0.3,5,68,1,0.0147,P. falciparum,RDT,SD BIOLINE Malaria Ag P.f. (HRP2/pLDH) - 05FK90,,true,true,,"Eisele, T.P, -. (2017) personal communication.",,
29881,,85075,Bugoigo,1.7586,31.4206,UNKNOWN,Uganda,UGA,Africa,6,2015,6,2015,5,10,60,30,0.5,P. falciparum,RDT,SD BIOLINE Malaria Ag Pf/Pan 05FK66/05K60/05FK63,,true,true,,"Al-Shehri, H, Stanton, M.C, LaCourse, J.E, Atuhaire, A, Arinaitwe, M, Wamboko, A, Adriko, M, Kabatereine, N.B and Stothard, J.R (2016).  <b>An extensive burden of giardiasis associated with intestinal schistosomiasis and anaemia in school children on the shoreline of Lake Albert, Uganda
.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>110</b>( ):597 - 603","Al-Shehri, H,  . (2017) personal communication.",
30340,,1544324,Kaedi,16.1506,-13.5078,UNKNOWN,Mauritania,MRT,Africa,5,2015,5,2015,0,99,4417,12,0,P. falciparum,Microscopy,,,true,true,,"Gbalégba, Ba, Silué, Ba, Tia, Chouaibou, Tian-Bi, Yapi, Koné, Utzinger and Koudou (2018).  <b>Distribution of <i>Plasmodium</i> spp. infection in asymptomatic carriers in perennial and low seasonal malaria transmission settings in West Africa.</b> <i>Infectious Diseases of Poverty</i>, <b>7</b>(1)", personal communication.,
30347,,1562774,Korhogo,9.4614,-5.6408,UNKNOWN,Côte d'Ivoire,CIV,Africa,3,2015,7,2015,0,99,3427,265,0.0866,P. falciparum,Microscopy,,,true,true,,"Gbalégba, Ba, Silué, Ba, Tia, Chouaibou, Tian-Bi, Yapi, Koné, Utzinger and Koudou (2018).  <b>Distribution of <i>Plasmodium</i> spp. infection in asymptomatic carriers in perennial and low seasonal malaria transmission settings in West Africa.</b> <i>Infectious Diseases of Poverty</i>, <b>7</b>(1)", personal communication.,
30397,,1803974,Kisiwani,-6.934,37.1085,UNKNOWN,Tanzania,TZA,Africa,5,2015,5,2015,1,10,118,22,0.2373,P. falciparum,RDT,SD BIOLINE Malaria Ag Pf/Pan 05FK66/05K60/05FK63,,true,true,,"Mazigo, Chiduo, Rumisha, Mboera and Bwana (2017).  <b>Malaria among rice farming communities in Kilangali village, Kilosa district, Central Tanzania: prevalence, intensity and associated factors.</b> <i>Infectious Diseases of Poverty</i>, <b>6</b>(1)", personal communication.,
